187.18,190.93,1020.3,533.53,1067.8,939.18,429.26,263.56,206.58,323.3,194.59,274.67,199.23,510.02,224.59,207.64,142.37,74.34,57.36,567.16,101.13,107.15,176,130.46,334.16,82.01,47.21,32.08,1218,100.56,134.86,83.55,43.37,36.06,25.07,17.99,82.14,39.73,24.1,28.7,19.54,18.54,14.49,20.18,50.56,43.63,72.34,39.25,157.38,68.08,83.64,626.46
397.71,218.11,340.06,146.32,98.4,97.15,163.76,178.58,200.23,281.54,128.83,469.36,860.87,2250.1,400.06,282.03,376.53,539.29,929.53,166.79,2332.7,187.43,157.86,168.98,218.74,69.1,94.8,67.75,76.93,444.34,500.22,1368.5,1168,613.49,140.52,88.07,59.09,42.32,81.97,25.13,23.42,66.24,22.99,26.89,25.37,43.24,20.62,15.28,61.49,149.99,121.36,200.49
237.36,2283.4,177.69,151.48,828.59,394.01,418.15,361.04,167.31,2110.7,258.28,248.41,836.47,580.33,472.06,234.81,221.28,225.62,165.5,140.36,103.56,111.39,49.52,79.15,82.14,287.97,84.21,44.39,18.37,10.07,19.99,53.07,30.18,13.74,11.18,17.36,17.36,2.9,2.9,11.58,40.7,659.88,41.93,267.92,658.08,167.93,468.44,937.78,128.64,789.69,443.66,2280.1
420.4,1039.8,490.86,579.89,271.37,467.48,1029.3,628.25,321.24,269.75,219.91,440.56,180.42,279.65,491.62,1757.8,352.04,181.06,400.84,89.16,88.34,135.11,55.8,152.91,73.17,54.36,57.72,88.88,48.24,63.14,127.47,85.1,47.58,114.34,43.22,66.79,20.71,9.43,4.39,16.31,8.26,18.58,4.81,10.03,13.37,13.37,13.37,13.97,19.81,15.47,32.83,52.39
23.51,19.39,18.7,22.14,50.02,41.74,22.86,34.44,1408.3,369.41,120.12,405.71,1034.1,363.39,3303.5,989.3,197.39,136.22,94.42,673.36,448.94,1113.9,1281,236.64,704.61,176.44,166.08,58.02,51.36,383.09,248.93,182.22,52.13,372.22,174.64,2152.9,734.11,289.82,131.42,190.22,133.19,89.45,73.29,58.19,57.74,52.5,63.91,4009.4,503.57,222.89,741.61,333.85
967.91,337.19,341.62,969.38,253.55,246.26,831.85,353.22,299.29,345.35,903.66,515.82,2246.2,1712.5,856.31,1959.2,536.9,308.58,269.68,239.05,546.71,158.5,144.46,101.27,83.24,54.94,71.25,215.01,394.29,243.89,64.41,66.11,25.37,26.87,16.92,720.79,240.17,43.49,84.7,51.31,31.94,26.4,20.84,187.43,291.83,568.42,120.71,138.24,102.27,964.22,233.4,160.13
3940.5,1375.6,3098.9,417.95,848.96,1291.3,3874.4,660.67,349.48,227.26,2091,1732,1146.2,4282.6,1693.9,436.34,326.81,285.94,231.42,204.37,130.83,83.86,62.49,460.54,129.81,104.83,67.11,46.79,621.1,367.68,412.26,222.53,90.65,99.94,927.42,71.85,235.4,53.17,59.16,491.17,124.76,212.51,86.57,56.28,64.58,160.15,102.82,101.8,200.21,716.87,681.37,618.94
2789.7,603.71,2991.9,754.74,1502.7,923.73,563.98,868.77,584.58,464.58,514.35,494.54,338.39,1631.7,432.01,292.33,2952.1,587.49,303.99,315.38,166.3,138.65,476.33,225.49,175.06,108.63,324.11,79.17,74.56,63.82,1116,712.09,1205.9,872.53,702.34,1334.5,289.73,145.79,101.8,447.76,263.64,183.55,112.23,113.48,116.85,546.23,176.84,174.65,165.51,149.77,147.9,379.42
1205.2,620.08,254.07,565.2,295.81,202.3,187.25,324.82,301.92,879.95,450.52,239.13,170.34,378.55,890.31,173.49,119.92,113.26,88.26,153.66,191.35,108.99,302.63,361.75,2898.2,710.49,555.55,761.81,524.31,6893.2,820.42,359.47,204.89,116.69,82.75,81.81,36.49,115.28,45.17,80.6,62.52,57.73,100.13,50.02,49.93,38.69,808.82,139.1,612.95,298.79,125.63,763.34
311.26,416.52,654.14,526.7,1208.4,2403.4,1972.4,675.94,2275.6,740.98,1518.9,440.24,1359.3,1093.8,408.12,412.16,440.09,1927.5,308.06,193.25,190.76,202.57,283.96,205.58,403.43,129.83,929.99,213.22,369.42,741,254.52,171.49,3685.3,700.35,2502,312.53,146.96,107.68,90.83,170.71,86.86,72.25,55.57,85.9,120.86,66.82,152.14,80.86,79.85,75.13,82.85,439.53
141.43,277.21,460.43,160.96,158.56,2049.7,523.51,1252.6,356.13,588.41,771.87,337.93,307.28,218.4,557.16,537.92,389.87,132.22,83.62,65.68,1019.5,525.67,152.77,192.03,796.52,97.64,75.23,106.78,69.69,54.39,89.23,35.6,1737.7,407.97,281.37,70.88,85.85,42.54,27.33,25.9,22.96,21.33,20.51,94.1,47.05,2180.9,207.6,156.51,106.79,114.55,197.02,796.81
